fName,completeness,imbalanceRatio,conciseness,syntaxAccuracy,classOverlap,outlierDetection,instances,attributes,uniqueClasses,entropy,snr,ena,symmetrical,modereateasymmetrical,strongasymmetric,strongPositive,positive,strongNegative,negative
Wholesale customers data.csv,0.0,0.010072314049586775,0.0,0.0,0.0,0.0005681818181818182,440,8,2,0.9073226451896848,50.70997990561757,2.4443190740015877,0.0,0.6666666666666666,0.3333333333333333,0.03571428571428571,0.03571428571428571,0.0,0.0
caesarian.csv,0.0,0.0,0.05063291139240511,0.0,0.0,0.004219409282700422,79,6,2,0.980377508715691,1.3637846052709248,0.1814602515666407,0.0,1.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333
bank-full.csv,0.0,9.966736242404426e-05,0.0,0.058823529411764705,0.0,0.00034869182018431227,45211,17,2,0.5206312212538164,5.382458896581244,0.02144394773667863,0.0,1.0,0.0,0.058823529411764705,0.39705882352941174,0.0,0.4852941176470588
data_banknote_authentication.csv,0.0,0.0,0.017505470459518557,0.0,0.0,0.0014587892049598833,1371,5,2,0.9912319108478986,161.96455117673804,0.12879770636537705,0.75,0.25,0.0,0.05,0.0,0.0,0.0
heart_failure_clinical_records_datase.csv,0.0,0.009206574010099696,0.0,0.15384615384615385,0.0,0.0002572678157962439,299,13,2,0.9055415027672631,4.234217912105342,0.05980052746226236,0.2,0.6,0.2,0.05128205128205128,0.1282051282051282,0.0,0.23076923076923078
wine.data,0.0,0.0,0.0,0.0,0.0,0.0,177,14,3,0.9884318013785918,12.010410425696104,0.14552751397807345,0.5384615384615384,0.38461538461538464,0.07692307692307693,0.005494505494505495,0.0,0.0,0.0
HCV-Egy-Data2.csv,0.0,0.0,0.0,0.0,0.0,0.0,1385,29,4,0.9995244237916912,2.7228926474058284,0.03517261274300815,0.7333333333333333,0.26666666666666666,0.0,0.017241379310344827,0.10837438423645321,0.0,0.11576354679802955
LasVegasTripAdvisorReviews-Dataset.csv,0.0,0.0,0.0,0.1,0.0001984126984126984,0.004166666666666667,504,20,7,0.9962248782016787,0.04545634942678341,0.0429883442549891,0.0,1.0,0.0,0.04473684210526316,0.32105263157894737,0.0,0.39473684210526316
iris.data,0.0,0.0,0.020134228187919434,0.0,0.0,0.0,149,5,3,0.9999589074278228,8.381718090290033,0.18377362475756923,0.5,0.5,0.0,0.05,0.0,0.0,0.0
glass.data,0.0,0.013425266351273096,0.0,0.0,0.0,0.0008536064874093043,213,11,6,0.8430105892200701,6.970026964940296,0.0577094811737323,0.5,0.5,0.0,0.02727272727272727,0.01818181818181818,0.0,0.03636363636363636
